Part,Value,Device,Package,Description,qty,MF,MPN,supplier,part no,qty ordered,cost
U1,ATSAM3X8EA-AU,ATSAM3X/AAU,LQFP144,,1,,,,,,
U2,ADUM4160BRWZ,ADUM4160BRWZ,SOIC127P1032X265-16N,Full/Low Speed 5 kV USB Digital Isolator,1,Analog Devices,ADUM4160BRWZ-RL,digikey,ADUM4160BRWZ-RLCT-ND,1,17.89
U7,CK_CUSTOM_M24M02-DRMN6TP,CK_CUSTOM_M24M02-DRMN6TP,CK_CUSTOM_SOIC8,,1,STMicroelectronic,M24M02-DRMN6TP,digikey,497-11600-1-ND,1,4.26
"U8,U9,U10",560020-04,560020-04,560020-4,,3,Molex LLC,5600200420,digikey,WM10864CT-ND,3,7.26
mating connectors,,,,,5,Molex LLC,5023510400,digikey,WM8688-ND,10,6.39
pins,,,,,24,Molex LLC,5600850101,digikey,WM14168CT-ND,25,3.75
X1,MINI-USB-UX60-MB-5ST,MINI-USB-UX60-MB-5ST,UX60-MB-5ST,MINI USB Connector,1,Hirose,UX60-MB-5ST,digikey,H2959CT-ND,2,3.28
X2,,CONN_5-1-502386,CM-502386-05,,1,Molex LLC,5023860570,digikey,WM4949CT-ND,2,2.18
mating connectors,,,,,,Molex LLC,5023800500,digikey,WM2270-ND,2,0.76
Y1,12MHz KX-7 20pF,CRYSTAL-3.2-2.5,CRYSTAL-3.2-2.5,,1,AVX Corp/Kyocera Corp,CX3225SB12000D0GZJC1,digikey,1253-1696-1-ND,2,2.02
Y2,32.768Khz,ARDUINO_WIFI_SHIELD_V018_TG_RESONATOR_EPSON_FC_145,ARDUINO_WIFI_SHIELD_V018_TG_RESONATOR_EPSON_FC_145,,1,AVX Corp/Kyocera Corp,ST3215SB32768E0HPWBB,digikey,1253-1335-1-ND,2,2.2
"Z1,Z2",CG0603MLC-05E,VARISTORCN0603,CT/CN0603,VARISTOR,2,Bourns,CG0603MLC-05E,digikey,CG0603MLC-05ECT-ND,10,2.71
ZEN,1SMB5929BT3G,ZENER-DIODESMB,SMB,Z-Diode,1,ON Semiconductor,1SMB5929BT3G,digikey,1SMB5929BT3GOSCT-ND,1,0.72
,,,,,,,,,,,211.18
